Event,Date,Time
[MOTION DETECTED],2025-05-29,15:21:58
[MOTION DETECTED],2025-05-29,15:22:10
[MOTION DETECTED],2025-05-29,15:22:22
[SHUTTING DOWN],2025-05-29,15:22:52
[MOTION DETECTED],2025-05-29,15:23:06
[MOTION DETECTED],2025-05-29,15:23:18
[MOTION DETECTED],2025-05-29,15:23:30
[MOTION DETECTED],2025-05-29,15:23:54
[MOTION DETECTED],2025-05-29,15:24:07
[MOTION DETECTED],2025-05-29,15:24:19
[SHUTTING DOWN],2025-05-29,15:24:49
[MOTION DETECTED],2025-05-29,15:37:44
[MOTION DETECTED],2025-05-29,15:37:56
[SHUTTING DOWN],2025-05-29,15:38:26
[MOTION DETECTED],2025-05-29,15:38:47
[MOTION DETECTED],2025-05-29,15:39:00
[MOTION DETECTED],2025-05-29,15:39:11
[SHUTTING DOWN],2025-05-29,15:39:41
[MOTION DETECTED],2025-05-29,15:39:51
[MOTION DETECTED],2025-05-29,15:40:03
[MOTION DETECTED],2025-05-29,15:40:15
[MOTION DETECTED],2025-05-29,15:40:26
[MOTION DETECTED],2025-05-29,15:41:35
[SHUTTING DOWN],2025-05-29,15:42:05
[MOTION DETECTED],2025-05-29,15:43:01
[SHUTTING DOWN],2025-05-29,15:43:32
[MOTION DETECTED],2025-05-29,15:45:13
[MOTION DETECTED],2025-05-29,15:45:26
[SHUTTING DOWN],2025-05-29,15:45:56
[MOTION DETECTED],2025-05-29,15:49:40
[SHUTTING DOWN],2025-05-29,15:50:11
[MOTION DETECTED],2025-05-29,15:50:56
[SHUTTING DOWN],2025-05-29,15:51:27
[MOTION DETECTED],2025-05-29,15:55:24
[SHUTTING DOWN],2025-05-29,15:55:55
[MOTION DETECTED],2025-05-29,15:56:20
[MOTION DETECTED],2025-05-29,15:56:38
[SHUTTING DOWN],2025-05-29,15:57:08
[MOTION DETECTED],2025-05-29,16:08:19
[SHUTTING DOWN],2025-05-29,16:08:50
[MOTION DETECTED],2025-05-29,16:15:59
[MOTION DETECTED],2025-05-29,16:16:11
[SHUTTING DOWN],2025-05-29,16:16:41
[MOTION DETECTED],2025-05-29,16:22:38
[MOTION DETECTED],2025-05-29,16:22:50
[SHUTTING DOWN],2025-05-29,16:23:20
[MOTION DETECTED],2025-05-29,16:35:38
[MOTION DETECTED],2025-05-29,16:36:02
[MOTION DETECTED],2025-05-29,16:36:13
[MOTION DETECTED],2025-05-29,16:36:25
[MOTION DETECTED],2025-05-29,16:36:36
[SHUTTING DOWN],2025-05-29,16:37:06
